web-scraper-order,web-scraper-start-url,house-link,house-link-href,title,rent-cost,house-area,location,bedroom,bathroom
"1716832623-69","https://batdongsan.com.vn/cho-thue-nha-rieng","3","https://batdongsan.com.vn/cho-thue-nha-rieng/p3","Cho thuê mặt 77 Láng Hạ, Ba Đình, diện tích 180 m2, mặt tiền 7.5 m, 185 triệu/tháng, nhà hàng ăn","185 triệu/tháng","180 m²","Ba Đình, Hà Nội","",""
"1716832623-70","https://batdongsan.com.vn/cho-thue-nha-rieng","3","https://batdongsan.com.vn/cho-thue-nha-rieng/p3","Cho thuê nhà địa chỉ 134/45 Tân Chánh Hiệp 18, Quận 12","4,5 triệu/tháng","24 m²","Quận 12, Hồ Chí Minh","",""
"1716832623-71","https://batdongsan.com.vn/cho-thue-nha-rieng","3","https://batdongsan.com.vn/cho-thue-nha-rieng/p3","Chính chủ cho thuê nhà riêng 7 tầng, thang máy tại 183 Hoàng Văn Thái, full nội thất","25 triệu/tháng","40 m²","Thanh Xuân, Hà Nội","",""
"1716832623-72","https://batdongsan.com.vn/cho-thue-nha-rieng","3","https://batdongsan.com.vn/cho-thue-nha-rieng/p3","Chính chủ cho thuê nhà tại Huỳnh Thúc Kháng kéo dài diện tích 80m2 xây 8 tầng. Liên hệ 0832 325 ***","100 triệu/tháng","80 m²","Đống Đa, Hà Nội","",""
"1716832623-73","https://batdongsan.com.vn/cho-thue-nha-rieng","3","https://batdongsan.com.vn/cho-thue-nha-rieng/p3","Cho thuê nhà riêng 04 tầng ô tô đỗ cửa tại phố Nguyễn Văn Trỗi, quận Thanh Xuân, HN","19 triệu/tháng","86,6 m²","Thanh Xuân, Hà Nội","6","6"
"1716832623-74","https://batdongsan.com.vn/cho-thue-nha-rieng","3","https://batdongsan.com.vn/cho-thue-nha-rieng/p3","Cho thuê nhà góc 2 mặt tiền đường Lê Hồng Phong - cạnh sân bay quốc tế Long Thành & KCN Nhơn Trạch","20 triệu/tháng","152 m²","Nhơn Trạch, Đồng Nai","5","5"
"1716832623-75","https://batdongsan.com.vn/cho-thue-nha-rieng","3","https://batdongsan.com.vn/cho-thue-nha-rieng/p3","Cần cho thuê tầng 3 trong nhà 5 tầng, số nhà 19 ngõ 9 phố Quỳnh Lôi, giá thuê thương lượng","Giá thỏa thuận","95 m²","Hai Bà Trưng, Hà Nội","2",""
"1716832623-76","https://batdongsan.com.vn/cho-thue-nha-rieng","3","https://batdongsan.com.vn/cho-thue-nha-rieng/p3","Chính chủ cần cho thuê nhà riêng P. Quang Trung, Đống Đa","5 triệu/tháng","30 m²","Đống Đa, Hà Nội","",""
"1716832623-77","https://batdongsan.com.vn/cho-thue-nha-rieng","3","https://batdongsan.com.vn/cho-thue-nha-rieng/p3","Cho thuê biệt thự gần Mỹ Đình 2, sát đường Hàm Nghi, Nam Từ Liêm, LH 0977 323 ***","Giá thỏa thuận","200 m²","Nam Từ Liêm, Hà Nội","",""
"1716832623-78","https://batdongsan.com.vn/cho-thue-nha-rieng","3","https://batdongsan.com.vn/cho-thue-nha-rieng/p3","Cho thuê nhà số 24 ngõ 52 Quan Nhân, nhà 3 tầng làm văn phòng công ty, sinh hoạt gia đình thoải mái","18 triệu/tháng","45 m²","Cầu Giấy, Hà Nội","4","3"
"1716832627-79","https://batdongsan.com.vn/cho-thue-nha-rieng","2","https://batdongsan.com.vn/cho-thue-nha-rieng/p2","Cho thuê nhà đẹp tiện KD kết hợp để ở Phố Thái Hà - Đống Đa - vị trí trung tâm - DT 48m2 - 5 tầng","25 triệu/tháng","45 m²","Đống Đa, Hà Nội","",""
"1716832627-80","https://batdongsan.com.vn/cho-thue-nha-rieng","2","https://batdongsan.com.vn/cho-thue-nha-rieng/p2","Cho thuê nhà nguyên căn đường Tân Lập 2, Quận Hải Châu","12 triệu/tháng","60 m²","Hải Châu, Đà Nẵng","4","2"
"1716832627-81","https://batdongsan.com.vn/cho-thue-nha-rieng","2","https://batdongsan.com.vn/cho-thue-nha-rieng/p2","Cho thuê nhà nguyên căn chính chủ, diện tích sàn 62m2, 4 tầng tại Lễ Pháp, Xã Tiên Dương, Đông Anh","9 triệu/tháng","62 m²","Đông Anh, Hà Nội","3","4"
"1716832627-82","https://batdongsan.com.vn/cho-thue-nha-rieng","2","https://batdongsan.com.vn/cho-thue-nha-rieng/p2","Cho thuê nhà Dĩ An Bình Dương (chính chủ - không qua trung gian) sau lưng siêu thị Go (Big C Dĩ An)","10 triệu/tháng","225 m²","Dĩ An, Bình Dương","3","2"
"1716832627-83","https://batdongsan.com.vn/cho-thue-nha-rieng","2","https://batdongsan.com.vn/cho-thue-nha-rieng/p2","Cho thuê nhà nguyên căn (3p ngủ) ngõ 207/77 Bùi Xương Trạch: 45m2 9 triệu /1 tháng","9 triệu/tháng","45 m²","Thanh Xuân, Hà Nội","3","2"
"1716832627-84","https://batdongsan.com.vn/cho-thue-nha-rieng","2","https://batdongsan.com.vn/cho-thue-nha-rieng/p2","Nhà thuê Tân Hoà Đông (4x15) (3PN - 3WC) - Quận 6","11 triệu/tháng","60 m²","Quận 6, Hồ Chí Minh","3","3"
